,level_0,level_1,level_2,level_3,Model Family,BEV,ICE,PHEV
197,Geely,Lynk & co Car,Car,Model family 3,Japan,0,0.21,0.2700000000000001
198,Geely,Lynk & co Car,Car,Model family 3,People's Republic of China (mainland),0.33000000000000007,0.22,0
199,Geely,Lynk & co Car,Car,Model family 3,Rest of Asia Pacific,0.33000000000000007,0.22,0.52
200,Geely,Lynk & co Car,Car,Model family 3,Rest of Central & Eastern Europe,0.33000000000000007,0.22,0.52
201,Geely,Lynk & co Car,Car,Model family 3,Rest of Greater China,0,0.21,0.2700000000000001
202,Geely,Lynk & co Car,Car,Model family 3,Rest of Latin America,0.47000000000000003,0.21,0.2700000000000001
203,Geely,Lynk & co Car,Car,Model family 3,Rest of Middle East,0.47000000000000003,0.21,0.2700000000000001
204,Geely,Lynk & co Car,Car,Model family 3,South Korea,0.47000000000000003,0.21,0.2700000000000001
205,Geely,Lynk & co Car,Car,Model family 3,Southeast Asia,0.33000000000000007,0.22,0
206,Geely,Lynk & co Car,Car,Model family 3,UK,0.33000000000000007,0.22,0.52
207,Geely,Lynk & co Car,Car,Model family 3,United States,0,0.21,0.2700000000000001
208,Geely,Lynk & co Car,Car,Model family 4,Australia,0.32000000000000006,0.21,0.51
209,Geely,Lynk & co Car,Car,Model family 4,Canada,0.32000000000000006,0.21,0
210,Geely,Lynk & co Car,Car,Model family 4,France,0.32000000000000006,0.21,0
211,Geely,Lynk & co Car,Car,Model family 4,Germany,0,0.19999999999999998,0.26000000000000006
212,Geely,Lynk & co Car,Car,Model family 4,India,0.46,0.19999999999999998,0.26000000000000006
213,Geely,Lynk & co Car,Car,Model family 4,Japan,0,0.19999999999999998,0.26000000000000006
214,Geely,Lynk & co Car,Car,Model family 4,People's Republic of China (mainland),0.32000000000000006,0.21,0
215,Geely,Lynk & co Car,Car,Model family 4,Rest of Asia Pacific,0.32000000000000006,0.21,0.51
216,Geely,Lynk & co Car,Car,Model family 4,Rest of Central & Eastern Europe,0.32000000000000006,0.21,0.51
217,Geely,Lynk & co Car,Car,Model family 4,Rest of Greater China,0,0.19999999999999998,0.26000000000000006
218,Geely,Lynk & co Car,Car,Model family 4,Rest of Latin America,0.46,0.19999999999999998,0.26000000000000006
219,Geely,Lynk & co Car,Car,Model family 4,Rest of Middle East,0.46,0.19999999999999998,0.26000000000000006
220,Geely,Lynk & co Car,Car,Model family 4,South Korea,0.46,0.19999999999999998,0.26000000000000006
221,Geely,Lynk & co Car,Car,Model family 4,Southeast Asia,0.32000000000000006,0.21,0
222,Geely,Lynk & co Car,Car,Model family 4,UK,0.32000000000000006,0.21,0.51
223,Geely,Lynk & co Car,Car,Model family 4,United States,0,0.19999999999999998,0.26000000000000006
224,Geely,Lynk & co Car,Car,Model family 5,Australia,0.37000000000000005,0.26,0.56
225,Geely,Lynk & co Car,Car,Model family 5,Canada,0.37000000000000005,0.26,0
226,Geely,Lynk & co Car,Car,Model family 5,France,0.37000000000000005,0.26,0
227,Geely,Lynk & co Car,Car,Model family 5,Germany,0,0.25,0.31000000000000005
228,Geely,Lynk & co Car,Car,Model family 5,India,0.51,0.25,0.31000000000000005
229,Geely,Lynk & co Car,Car,Model family 5,Japan,0,0.25,0.31000000000000005
230,Geely,Lynk & co Car,Car,Model family 5,People's Republic of China (mainland),0.37000000000000005,0.26,0
231,Geely,Lynk & co Car,Car,Model family 5,Rest of Asia Pacific,0.37000000000000005,0.26,0.56
232,Geely,Lynk & co Car,Car,Model family 5,Rest of Central & Eastern Europe,0.37000000000000005,0.26,0.56
233,Geely,Lynk & co Car,Car,Model family 5,Rest of Greater China,0,0.25,0.31000000000000005
234,Geely,Lynk & co Car,Car,Model family 5,Rest of Latin America,0.51,0.25,0.31000000000000005
235,Geely,Lynk & co Car,Car,Model family 5,Rest of Middle East,0.51,0.25,0.31000000000000005
236,Geely,Lynk & co Car,Car,Model family 5,South Korea,0.51,0.25,0.31000000000000005
